Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Bot.Api\Bot.Api.csproj,File,Bot.Api\Bot.Api.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Api\Bot.Api.csproj,File,Bot.Api\ITask.cs,25,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"return @this.Delay(TimeSpan.FromMilliseconds(milliseconds), ct);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Api\Bot.Api.csproj,File,Bot.Api\ITask.cs,15,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"return @this.Delay(TimeSpan.FromMilliseconds(milliseconds), CancellationToken.None);"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Bot.Base\Bot.Base.csproj,File,Bot.Base\Bot.Base.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Bot.Core.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Bot.Core.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\CustomScriptCache.cs,30,16,M:System.TimeSpan.FromDays(System.Double),,,,,if (scriptAndTime.Item2 > now - TimeSpan.FromDays(1))                      return scriptAndTime.Item1;                  else                      existsInDict = true;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\CustomScriptParser.cs,58,16,T:System.Uri,,,,,sd.AlmanacUrl = Uri.EscapeUriString(almanacUrl);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\CustomScriptParser.cs,58,16,M:System.Uri.EscapeUriString(System.String),,,,,sd.AlmanacUrl = Uri.EscapeUriString(almanacUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\JsonParseUtil.cs,48,16,T:System.Uri,,,,,cd.ImageUrl = Uri.EscapeUriString(imageUrlStr);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\JsonParseUtil.cs,48,16,M:System.Uri.EscapeUriString(System.String),,,,,cd.ImageUrl = Uri.EscapeUriString(imageUrlStr);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\OfficialWikiHelper.cs,9,79,T:System.Uri,,,,,"Uri.EscapeUriString(string.Join('_', thingName.Split(' ').Select(s => $""{char.ToUpper(s[0])}{s[1..]}"")))"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Bot.Core\Bot.Core.csproj,File,Bot.Core\Lookup\OfficialWikiHelper.cs,9,79,M:System.Uri.EscapeUriString(System.String),,,,,"Uri.EscapeUriString(string.Join('_', thingName.Split(' ').Select(s => $""{char.ToUpper(s[0])}{s[1..]}"")))"
